task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	12/0ea76a	440095	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:UNPACK_DB:UNTAR_DB (kaiju_db_rvdb_2023-05-26.tgz)	CACHED	0	2025-11-06 17:24:44.114	10m 47s	10m 46s	136.7%	13.8 MB	27.4 MB	164 GB	200 GB
60	1f/838045	410660	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:UNPACK_DB:UNTAR_DB (k2_viral_20230314.tar.gz)	CACHED	0	2025-11-06 17:10:16.205	8.8s	8s	131.3%	13.6 MB	27.4 MB	1.9 GB	1.6 GB
79	de/0d92c8	3598891	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:CONSENSUS_QC:MMSEQS_ANNOTATE:MMSEQS_CREATEANNOTATIONDB (annotation)	CACHED	0	2025-11-19 07:55:17.910	2.6s	2s	74.4%	308.2 MB	2.2 GB	565.4 MB	574.9 MB
80	22/ec0b57	607201	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:BLAST_MAKEBLASTDB (reference)	CACHED	0	2025-11-06 18:30:56.799	27m 17s	27m 16s	93.8%	195.5 MB	1.3 GB	174 GB	45.4 GB
2	84/125ad1	3735526	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:MEGAHIT (AF443074.1.8384)	COMPLETED	0	2025-11-19 08:03:27.472	4.9s	4.3s	754.0%	19.9 MB	32.4 MB	92.8 MB	24.8 MB
6	80/96a6ed	3735532	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:MEGAHIT (AY835777.1.9394)	COMPLETED	0	2025-11-19 08:03:27.484	5.9s	5.3s	735.7%	36.8 MB	831.4 MB	88.6 MB	25.5 MB
82	8d/e60111	3738596	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:MAP_READS_CONTIGS:BWAMEM2_INDEX (AF443074.1.8384_megahit.contigs.fa.gz)	COMPLETED	0	2025-11-19 08:03:33.427	2.8s	2.1s	4.2%	10.9 MB	33.2 MB	144.4 KB	101.8 KB
84	54/50c7df	3739229	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:MAP_READS_CONTIGS:BWAMEM2_INDEX (AY835777.1.9394_megahit.contigs.fa.gz)	COMPLETED	0	2025-11-19 08:03:34.444	2.7s	2.1s	3.7%	3.6 MB	5.2 MB	146.5 KB	124.1 KB
4	9c/8fe2ad	3738129	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:MEGAHIT (AY835773.1.9090)	COMPLETED	0	2025-11-19 08:03:32.437	5.6s	5s	806.0%	35.9 MB	895.4 MB	90.4 MB	25.4 MB
3	d5/8aadb9	3738588	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:SPADES (AY835773.1.9090)	COMPLETED	0	2025-11-19 08:03:33.413	6.8s	6.1s	487.0%	1.4 GB	8.4 GB	14.2 MB	74.5 MB
