task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	1f/838045	410660	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:UNPACK_DB:UNTAR_DB (k2_viral_20230314.tar.gz)	CACHED	0	2025-11-06 17:10:16.205	8.8s	8s	131.3%	13.6 MB	27.4 MB	1.9 GB	1.6 GB
1	12/0ea76a	440095	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:UNPACK_DB:UNTAR_DB (kaiju_db_rvdb_2023-05-26.tgz)	CACHED	0	2025-11-06 17:24:44.114	10m 47s	10m 46s	136.7%	13.8 MB	27.4 MB	164 GB	200 GB
4	22/ec0b57	607201	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:BLAST_MAKEBLASTDB (reference)	CACHED	0	2025-11-06 18:30:56.799	27m 17s	27m 16s	93.8%	195.5 MB	1.3 GB	174 GB	45.4 GB
3	07/2f042c	483458	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:CONSENSUS_QC:MMSEQS_ANNOTATE:MMSEQS_CREATEANNOTATIONDB (annotation)	CACHED	0	2025-11-06 17:35:31.925	3.3s	2s	66.2%	337.6 MB	2.2 GB	565.2 MB	575 MB
6	57/0ac993	408075	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:SPADES (Eddard)	CACHED	0	2025-11-06 17:10:02.832	12m 14s	12m 13s	747.5%	7.6 GB	13.5 GB	6.6 GB	40.1 GB
5	26/f5d200	408071	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:MEGAHIT (Eddard)	CACHED	0	2025-11-06 17:10:02.823	3m 18s	3m 17s	1004.2%	957.3 MB	1.4 GB	8.1 GB	2.8 GB
8	d3/f2da19	418487	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:MAP_READS_CONTIGS:BWAMEM2_INDEX (Eddard_megahit.contigs.fa.gz)	CACHED	0	2025-11-06 17:13:21.798	3s	2.3s	12.6%	10.1 MB	18.6 MB	692 KB	7.4 MB
7	1d/36fc53	602608	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:QUAST (Eddard)	CACHED	0	2025-11-06 18:30:34.671	11.3s	9.6s	99.7%	103.1 MB	9.5 GB	2 GB	5.6 MB
11	9a/6625b1	434133	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:MAP_READS_CONTIGS:BWAMEM2_INDEX (Eddard_spades.scaffolds.fa.gz)	CACHED	0	2025-11-06 17:22:17.431	2.9s	2.1s	4.2%	8.7 MB	27.1 MB	140.7 KB	68.1 KB
10	8a/4d529e	602613	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:QUAST (Eddard)	CACHED	0	2025-11-06 18:30:34.681	11.8s	9.9s	75.4%	102.1 MB	9.5 GB	2.8 GB	4.1 MB
12	e5/6a0543	434138	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:CAT_ASSEMBLERS (Eddard)	CACHED	0	2025-11-06 17:22:17.440	1.6s	0ms	78.1%	2.7 MB	11 MB	283.8 KB	1.5 MB
14	72/066e60	735580	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_BLAST_REFSEL:BLAST_BLASTN (Eddard)	CACHED	0	2025-11-06 19:29:03.491	24m 29s	24m 27s	385.3%	42.6 GB	44.7 GB	1.7 MB	4.7 MB
9	11/2b5a54	620432	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:MAP_READS_CONTIGS:BWAMEM2_MEM (Eddard)	CACHED	0	2025-11-06 18:33:04.800	5m 22s	5m 21s	1149.4%	6.2 GB	18.8 GB	3.5 GB	3.5 GB
13	82/57804c	630946	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:MAP_READS_CONTIGS:BWAMEM2_MEM (Eddard)	CACHED	0	2025-11-06 18:38:26.509	1m 18s	1m 17s	1037.5%	3.5 GB	16.1 GB	3.5 GB	3.5 GB
16	3b/a20a20	631043	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:CONTIG_INDEX (Eddard)	CACHED	0	2025-11-06 18:38:27.533	2.6s	2s	214.1%	8.1 MB	213.3 MB	695.3 MB	240.1 KB
15	9e/d6daa5	435100	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:PRINSEQ_CONTIG (Eddard)	CACHED	0	2025-11-06 17:22:20.101	934ms	0ms	116.4%	4.9 MB	16.2 MB	1.6 MB	1.5 MB
17	87/8187d2	634509	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:CONTIG_INDEX (Eddard)	CACHED	0	2025-11-06 18:39:45.562	3.5s	2s	177.5%	7.2 MB	212.1 MB	673.8 MB	5.5 KB
18	19/e67ca2	631561	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_MEGAHIT:CONTIG_IDXSTATS (Eddard)	CACHED	0	2025-11-06 18:38:31.183	1.2s	1s	21.9%	3.2 MB	6.7 MB	477.3 KB	81.1 KB
19	f6/2ba9ef	635232	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTQ_ASSEMBLY:EXTEND_SPADES:CONTIG_IDXSTATS (Eddard)	CACHED	0	2025-11-06 18:39:50.114	1.3s	1s	13.6%	3.5 MB	6.7 MB	210.8 KB	5.2 KB
20	04/ea1a62	491012	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_BLAST_REFSEL:BLAST_FILTER (Eddard)	CACHED	0	2025-11-18 15:36:51.778	29.4s	27.9s	117.0%	115 MB	9.4 GB	7.5 GB	6.2 MB
21	bf/78df8e	507105	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_CONTIG_PRECLUST:KAIJU_CONTIG (Eddard)	CACHED	0	2025-11-18 15:38:17.789	1m 31s	1m 30s	83.3%	68.3 GB	70.2 GB	66.5 GB	1 MB
22	ad/fc6eac	495002	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_CONTIG_PRECLUST:KRAKEN2_CONTIG (Eddard)	CACHED	0	2025-11-18 15:37:21.230	3.6s	2.3s	45.3%	273.9 MB	559.3 MB	552.1 MB	742.8 KB
23	eb/6caf6a	508822	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_CONTIG_PRECLUST:EXTRACT_PRECLUSTER (Eddard)	CACHED	0	2025-11-18 15:39:49.584	18.8s	16s	126.8%	999.8 MB	10.1 GB	204.6 MB	4.9 MB
26	71/813098	544257	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_FASTQ_CLUST:CDHIT_CDHITEST (Eddard_taxid11646)	CACHED	0	2025-11-18 15:52:07.621	773ms	0ms	111.5%	3.8 MB	11.5 MB	139.8 KB	16.9 KB
25	0e/6af3cf	544692	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_FASTQ_CLUST:CDHIT_CDHITEST (Eddard_taxid10239)	CACHED	0	2025-11-18 15:52:08.408	765ms	1s	105.6%	3.8 MB	11.5 MB	101.5 KB	7.7 KB
27	6e/c8d8a6	544251	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_FASTQ_CLUST:CDHIT_CDHITEST (Eddard_taxid11676)	CACHED	0	2025-11-18 15:52:07.609	2.1s	1s	241.8%	158.1 MB	557.1 MB	3.5 MB	241.6 KB
24	a9/6b09a3	544968	NFCORE_VIRALMETAGENOME:VIRALMETAGENOME:FASTA_CONTIG_CLUST:FASTA_FASTQ_CLUST:CDHIT_CDHITEST (Eddard_taxid0)	CACHED	0	2025-11-18 15:52:09.187	942ms	0ms	102.1%	3.8 MB	11.5 MB	102.1 KB	8 KB
