Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PV035480,Influenza A virus,GenBank,,,"Fox,E.B., Garrigues,J.M., Green,N.M.","Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories",USA,2025-01-30,LACPHL-INF01046,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H3N2,5,,USA: California,USA,CA,Homo sapiens,,2024-12-01,,,"Influenza A virus (A/California/LACPHL-INF01046/2024(H3N2)) segment 5 nucleocapsid protein (NP) gene, complete cds"
KP100979,Influenza A virus (A/swine/Indiana/28-0210/2011(H1N2)),GenBank,set:007b98e91167dd71ef74403bfd5ff34197a4c8f8,,"Baranovich,T., Bahl,J., Marathe,B.M., Culhaned,M., Stigger-Rosser,E., Darnell,D., Kaplan,B., Lowe,J.F., Webby,R.J., Govorkova,E.A.","Department of Infectious Diseases, St. Jude Children's Research Hospital",USA,2014-12-13,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H1N2,6,,USA: Indiana,USA,IN,Sus scrofa,,2011-02-14,,,"Influenza A virus (A/swine/Indiana/28-0210/2011(H1N2)) segment 6 neuraminidase (NA) gene, complete cds"
PV500491,Influenza A virus,GenBank,GCA_049722935.1,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,2025-04-15,EPI_ISL_19792510,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2316,partial,H1N1,2,,USA: Wisconsin,USA,WI,Homo sapiens,,2025-02-25,,PRJNA998884,"Influenza A virus (A/Wisconsin/NIRC-IS-1136/2025(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence"
OQ234774,Influenza A virus,GenBank,GCA_039322305.1,,"Wentworth,D., Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2023-01-17,EPI_ISL_15928342,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1002,partial,H3N2,7,,USA: Virginia,USA,VA,Homo sapiens,,2022-10-07,,PRJNA37813,"Influenza A virus (A/Virginia/04/2022(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
CY144743,Influenza A virus (A/ruddy turnstone/New Jersey/AI07-69/2007(H5N1)),GenBank,GCA_038465805.1,,"Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Wester,E., Ghedin,E., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Lebarbenchon,C., Sreevatsan,S., Poulson,B., Yang,M., Stallknecht,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.","on behalf of JCVI/University of Georgia/NCBI, National Center for Biotechnology Information, NIH",USA,2013-05-14,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),865,partial,H5N1,8,,"USA: North Reed's Beach, Cape May county, NJ",USA,NJ,Arenaria interpres,,2007-07-26,,,"Influenza A virus (A/ruddy turnstone/New Jersey/AI07-69/2007(H5N1)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
CY134418,Influenza A virus (A/Greece/385/2011(H1N1)),GenBank,set:d2afb56fd0c7d26596c03e0f54257a0d7f620c2a,,"Melidou,A.","National Influenza Centre for northern Greece, 2nd Laboratory of Microbiology, Medical School",Greece,2013-02-01,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),981,partial,H1N1,4,,Greece: Thessaloniki,Greece,,Homo sapiens,oronasopharynx,2011-01-31,,,"Influenza A virus (A/Greece/385/2011(H1N1)) hemagglutinin (HA) gene, partial cds"
CY046351,Influenza A virus (A/Wisconsin/629-D01017/2009(H1N1)),GenBank,GCA_038519355.1,,"Spiro,D., Halpin,R., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Hine,E., Overton,L., Proudfoot,K., Kim,M., Sitz,J., Katzel,D., Fan,J., Kehl,S.C., Lederboer,N., Jurgens,L.A., Bose,M.E., Beck,E.T., Kumar,S., Henrickson,K.J., Lin,X., Wentworth,D.E., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.","on behalf of JCVI/Medical College of Wisconsin/NCBI, National Center for Biotechnology Information, NIH",USA,2009-09-11,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),850,partial,H1N1,8,,USA: Wisconsin,USA,WI,Homo sapiens,,2009-05-03,,PRJNA37813,"Influenza A virus (A/Wisconsin/629-D01017/2009(H1N1)) segment 8, complete sequence"
CY003783,Influenza A virus (A/New York/420/2002(H3N2)),GenBank,GCA_038198365.1,,"Ghedin,E., Sengamalay,N., Zaborsky,J., Feldblyum,T., Subbu,V., Shumway,M., Sitz,J., Katzel,D., Koo,H., Salzberg,S.L., Griesemer,S., Ginocchio,C., St. George,K., Bennett,R., Taylor,J., Bao,Y., Bolotov,P., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.","on behalf of TIGR/Wadsworth-NYSDOH and NSLIJ/NCBI, National Center for Biotechnology Information, NIH",USA,2005-10-19,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2329,partial,H3N2,2,,"USA: Nassau County, NY",USA,NY,Homo sapiens,,2002-01-28,,,"Influenza A virus (A/New York/420/2002(H3N2)) segment 2, complete sequence"
KM035471,Influenza A virus (A/Rio Grande do Sul/782/2011(H1N1)),GenBank,set:868f3dfa8800da8f50c595989df69229d35ea30f,,"Borchardt,A.C., Lehmann,F.K., De Carli,S., Ikuta,N., Lunge,V.R.","Universidade Luterana do Brasil, Laboratorio de Diagnostico Molecular",Brazil,2014-07-20,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),627,partial,H1N1,6,,Brazil,Brazil,,Homo sapiens,oronasopharynx,2011-07,,,"Influenza A virus (A/Rio Grande do Sul/782/2011(H1N1)) segment 6 neuraminidase (NA) gene, partial cds"
OQ960653,Influenza A virus,GenBank,GCA_039285345.1,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E., Pantin-Jackwood,M.J., Stuber,T., Hicks,J., Norris,C., Franzen,K., Love,E., Chinh,T.","United States Department of Agriculture, Agricultural Research Service, Southeast Poultry Research Laboratory",USA,2023-08-23,22-010920-002,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,1,USA: New Hampshire,USA,NH,Branta canadensis,,2022-04-07,,,"Influenza A virus (A/Canada Goose/New Hampshire/22-010920-002/2022(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
