Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
HA067877,West Nile virus,GenBank,set:HA067877,,"Blatt,L., Mcswiggen,J.A.",,,2009-05-23,,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),17,partial,,,,,,,,,,,,Sequence 6588 from Patent WO2002068637
OZ201576,West Nile virus,GenBank,,,"Feriancek,N.M., Breban,M.I., Bourgikos,E., Bransfield,A., Armstrong,P.M., Vogels,C.B., Grubaugh,N.D.","Yale School of Public Health, New Haven, CT",USA,2024-11-07,D42G-8-30-Cxp-11,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),11029,partial,,main,,USA:Connecticut,USA,CT,Culex pipiens,,2018-08-30,SAMEA116354709,PRJEB80643,"West Nile virus isolate D42G-8-30-Cxp-11 genome assembly, segment: main"
HA065369,West Nile virus,GenBank,set:HA065369,,"Blatt,L., Mcswiggen,J.A.",,,2009-05-23,,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),17,partial,,,,,,,,,,,,Sequence 4080 from Patent WO2002068637
OZ201554,West Nile virus,GenBank,,,"Feriancek,N.M., Breban,M.I., Bourgikos,E., Bransfield,A., Armstrong,P.M., Vogels,C.B., Grubaugh,N.D.","Yale School of Public Health, New Haven, CT",USA,2024-11-07,ST64L-8-13-Cxs-2,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),11027,partial,,main,,USA:Connecticut,USA,CT,Culex salinarius,,2018-08-13,SAMEA116354576,PRJEB80643,"West Nile virus isolate ST64L-8-13-Cxs-2 genome assembly, segment: main"
HA063472,West Nile virus,GenBank,set:HA063472,,"Blatt,L., Mcswiggen,J.A.",,,2009-05-23,,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),17,partial,,,,,,,,,,,,Sequence 2183 from Patent WO2002068637
HA063415,West Nile virus,GenBank,set:HA063415,,"Blatt,L., Mcswiggen,J.A.",,,2009-05-23,,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),17,partial,,,,,,,,,,,,Sequence 2126 from Patent WO2002068637
HA074553,West Nile virus,GenBank,set:HA074553,,"Blatt,L., Mcswiggen,J.A.",,,2009-05-23,,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),17,partial,,,,,,,,,,,,Sequence 13264 from Patent WO2002068637
JA130669,West Nile virus,GenBank,set:JA130669,,"BURDE,S., GIERMAN,T., GLENN,C.",,,2011-04-19,,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),21,partial,,,,,,,,,,,,Sequence 51 from Patent EP2308887
HA063004,West Nile virus,GenBank,set:HA063004,,"Blatt,L., Mcswiggen,J.A.",,,2009-05-23,,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),17,partial,,,,,,,,,,,,Sequence 1715 from Patent WO2002068637
HA070791,West Nile virus,GenBank,set:HA070791,,"Blatt,L., Mcswiggen,J.A.",,,2009-05-23,,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae,ssRNA(+),17,partial,,,,,,,,,,,,Sequence 9502 from Patent WO2002068637
