Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MH306209,Zika virus,GenBank,set:MH306209,,"Tawatsin,A., Phumee,A., Thavara,U., Sirisopa,P., Ritthison,W., Thammakosol,K., Intayot,P., Joyjinda,Y., Wacharapluesadee,S., Hemachudha,T., Siriyasatien,P.","Faculty of Medicine, Chulalongkorn University, Department of Parasitology",Thailand,2018-06-27,RYF5,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),232,partial,,,,Thailand: Rayong,Thailand,,Aedes aegypti,,2017-04-25,,,"Zika virus isolate RYF5 polyprotein, NS5 region, gene, partial cds"
MF801390,Zika virus,GenBank,set:MF801390,,"Theze,J., Li,T., du Plessis,L., Bouquet,J., Kraemer,M.U.G., Somasekar,S., Yu,G., de Cesare,M., Balmaseda,A., Kuan,G., Harris,E., Wu,C.-H., Ansari,A.M., Bowden,R., Faria,N.R., Yagi,S., Messenger,S., Brooks,T., Stone,M., Bloch,E., Busch,M., Munoz-Medina,J.E., Gonzalez-Bonilla,C.R., Wolinsky,S., Lopez,S., Arias,C., Bonsall,D., Pybus,O.G., Chiu,C.Y., Julien,T., Sneha,S., Tony,L., Jerome,B., C,A., J,M.-M.E., C,G.-B.R., Charles,C.Y.","University of Oxford, Department of Zoology",United Kingdom,2017-10-26,ZIKV/Homo sapiens/MEX/2016/Mexico-1,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10047,partial,,,,Mexico,Mexico,,Homo sapiens,,2016,,,"Zika virus isolate ZIKV/Homo sapiens/MEX/2016/Mexico-1 polyprotein gene, partial cds"
LQ868289,Zika virus,GenBank,set:LQ868289,,"CIARAMELLA,G., HIMANSU,S., HUANG,E.Y., ZAKS,T.",,,2018-09-19,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10254,partial,,,,,,,,,,,,Sequence 137 from Patent EP3364950
KU758869,Zika virus,GenBank,set:KU758869,,"Enfissi,A., Rousset,D., Matheus,S., Kazanji,M.","Institut Pasteur de la Guyane, laboratoire de virologie",France,2016-06-01,05211,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),2854,partial,,,,French Guiana,French Guiana,,Homo sapiens,blood,2016-01,,,"Zika virus isolate 05211 polyprotein, envelope protein region, gene, partial cds"
KY785424,Zika virus,GenBank,set:KY785424,"SRR5640003,SRR5640010","Metsky,H.C., Matranga,C.B., Wohl,S., Schaffner,S.F., Freije,C.A., Winnicki,S.M., West,K., Qu,J., Baniecki,M.L., Gladden-Young,A., Lin,A.E., Tomkins-Tinch,C.H., Ye,S.H., Park,D.J., Luo,C.Y., Barnes,K.G., Shah,R.R., Chak,B., Barbosa-Lima,G., Delatorre,E., Vieira,Y.R., Paul,L.M., Tan,A.L., Barcellona,C.M., Porcelli,M.C., Vasquez,C., Cannons,A.C., Cone,M.R., Hogan,K.N., Kopp,E.W., Anzinger,J.J., Garcia,K.F., Parham,L.A., Ramirez,R.M.G., Montoya,M.C.M., Rojas,D.P., Brown,C.M., Hennigan,S., Sabina,B., Scotland,S., Gangavarapu,K., Grubaugh,N.D., Oliveira,G., Robles-Sikisaka,R., Rambaut,A., Gehrke,L., Smole,S., Halloran,M.E., Villar,L., Mattar,S., Lorenzana,I., Cerbino-Neto,J., Valim,C., Degrave,W., Bozza,P.T., Gnirke,A., Andersen,K.G., Isern,S., Michael,S.F., Bozza,F.A., Souza,T.M.L., Bosch,I., Yozwiak,N.L., MacInnis,B.L., Sabeti,P.C., Brown,C., Gladden-Young,A.D., MacInnis,B., West,K.L., Winnicki,S.","Broad Institute, Viral Genomics, Infectious Disease Program (Infectious Disease Initiative)",USA,2017-03-24,Zika virus/H.sapiens-wt/JAM/2016/MA-WGS16-025-SER,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10360,partial,,,1,Jamaica,Jamaica,,Homo sapiens,blood,2016-07-10,SAMN06617303,PRJNA344504,"Zika virus isolate Zika virus/H.sapiens-wt/JAM/2016/MA-WGS16-025-SER polyprotein gene, complete cds"
OM831154,Zika virus,GenBank,,,"Lopez-Rosero,A., Sippy,R., Stewart-Ibarra,A., Ryan,S., Mordecai,E., Heras,F., Beltran,E., Neira,M.","The Cyprus Institute, Climate and Atmosphere Research Center (CARE-C)",Cyprus,2022-04-13,EC_1449,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),186,partial,,,,"Ecuador: El Oro, Portobelo",Ecuador,,Aedes aegypti,,2017-03,,,"Zika virus isolate EC_1449 polyprotein, envelope protein E region, gene, partial cds"
KF383118,Zika virus,GenBank,set:KF383118,,"Faye,O., Freire,C.C., Iamarino,A., de Oliveira,J.V., Diallo,M., Zanotto,P.M., Sall,A.A., Freire,C.C.M., Chen,R., Oliveira,J.V.C., Weaver,S.C., Zanotto,P.M.A.","University of Sao Paulo, Microbiology",Brazil,2014-03-15,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10272,partial,,,1,,,,,,,,,"Zika virus strain ArD157995 polyprotein gene, complete cds"
KY785409,Zika virus,GenBank,set:KY785409,SRR5640058,"Metsky,H.C., Matranga,C.B., Wohl,S., Schaffner,S.F., Freije,C.A., Winnicki,S.M., West,K., Qu,J., Baniecki,M.L., Gladden-Young,A., Lin,A.E., Tomkins-Tinch,C.H., Ye,S.H., Park,D.J., Luo,C.Y., Barnes,K.G., Shah,R.R., Chak,B., Barbosa-Lima,G., Delatorre,E., Vieira,Y.R., Paul,L.M., Tan,A.L., Barcellona,C.M., Porcelli,M.C., Vasquez,C., Cannons,A.C., Cone,M.R., Hogan,K.N., Kopp,E.W., Anzinger,J.J., Garcia,K.F., Parham,L.A., Ramirez,R.M.G., Montoya,M.C.M., Rojas,D.P., Brown,C.M., Hennigan,S., Sabina,B., Scotland,S., Gangavarapu,K., Grubaugh,N.D., Oliveira,G., Robles-Sikisaka,R., Rambaut,A., Gehrke,L., Smole,S., Halloran,M.E., Villar,L., Mattar,S., Lorenzana,I., Cerbino-Neto,J., Valim,C., Degrave,W., Bozza,P.T., Gnirke,A., Andersen,K.G., Isern,S., Michael,S.F., Bozza,F.A., Souza,T.M.L., Bosch,I., Yozwiak,N.L., MacInnis,B.L., Sabeti,P.C., Gladden-Young,A.D., MacInnis,B., West,K.L., Winnicki,S.","Broad Institute, Viral Genomics, Infectious Disease Program (Infectious Disease Initiative)",USA,2017-03-24,Zika virus/H.sapiens-wt/BRA/2016/FC-DQ75D1-PLA,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),8846,partial,,,1,Brazil: Rio de Janeiro,Brazil,,Homo sapiens,blood,2016-04-04,SAMN06617263,PRJNA344504,"Zika virus isolate Zika virus/H.sapiens-wt/BRA/2016/FC-DQ75D1-PLA polyprotein gene, partial cds"
MH130102,Zika virus,GenBank,set:MH130102,,"Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Bailey,M., Palese,P.",J. Craig Venter Institute,USA,2018-05-06,P12,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10694,complete,,,,,,,,,,,PRJNA314889,"Zika virus strain ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC10-P12_02/1947, complete genome"
MK216748,Zika virus,GenBank,set:MK216748,,"Giovanetti,M., Goes de Jesus,J., Xavier,J., Morales,I., Lourenco,J., Dellicour,S., du Plessis,L., Theze,J., Salles,F., Paz,P., Nascimento,V., Souza,V., Carvalho,R., Iani,F., Wallau,G., Fonseca,V., Souza,R., Cru,L., Abreu,A., Garcia,M., Okumoto,O., Melo,C., Nunes,M., Sabino,E., Naveca,F., Pybus,O., Faria,N., Alcantara,L.C.J.","Fundacao Oswaldo Cruz, Laboratorio de Flavivirus",Brazil,2020-01-04,Z02,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),9421,partial,,,,"Brazil: Manaus, Amazonas",Brazil,,Homo sapiens,blood,2015-12-15,,,"Zika virus isolate Z02 polyprotein gene, partial cds"
